Numero|Modele|Cylindree |Puissance |Poids |Conso
1|Daihatsu Cuore|846|32|650|5,7
2|Suzuki Swift 1.0 GLS|993|39|790|5,8
3|Fiat Panda Mambo L|899|29|730|6,1
4|VW Polo 1.4 60|1390|44|955|6,5
5|Opel Corsa 1.2i Eco|1195|33|895|6,8
6|Subaru Vivio 4WD|658|32|740|6,8
7|Toyota Corolla|1331|55|1010|7,1
8|Opel Astra 1.6i 16V|1597|74|1080|7,4
9|Peugeot 306 XS 108|1761|74|1100|9,0
10|Renault Safrane 2.2. V|2165|101|1500|11,7
11|Seat Ibiza 2.0 GTI|1983|85|1075|9,5
12|VW Golt 2.0 GTI|1984|85|1155|9,5
13|Citroen ZX Volcane|1998|89|1140|8,8
14|Fiat Tempra 1.6 Liberty|1580|65|1080|9,3
15|Fort Escort 1.4i PT|1390|54|1110|8,6
16|Honda Civic Joker 1.4|1396|66|1140|7,7
17|Volvo 850 2.5|2435|106|1370|10,8
18|Ford Fiesta 1.2 Zetec|1242|55|940|6,6
19|Hyundai Sonata 3000|2972|107|1400|11,7
20|Lancia K 3.0 LS|2958|150|1550|11,9
21|Mazda Hachtback V|2497|122|1330|10,8
22|Mitsubishi Galant|1998|66|1300|7,6
23|Opel Omega 2.5i V6|2496|125|1670|11,3
24|Peugeot 806 2.0|1998|89|1560|10,8
25|Nissan Primera 2.0|1997|92|1240|9,2
26|Seat Alhambra 2.0|1984|85|1635|11,6
27|Toyota Previa salon|2438|97|1800|12,8
28|Volvo 960 Kombi aut|2473|125|1570|12,7
